,ensembl_gene_id,log2FoldChange,padj,-log10(padj),hgnc_symbol
18658,ENSG00000114113,-1.3004480447551054,2.558288132381222e-05,4.592050543807245,RBP2
18659,ENSG00000255650,0.197798846533113,0.6563909624767394,0.1828374071641947,FAM222A-AS1
18660,ENSG00000283475,0.0169078448834773,0.9489306739815516,0.0227655146612576,MIR1244-4
18661,ENSG00000085491,-0.0247300335310251,0.9162835274554464,0.0379701209210806,SLC25A24
18662,ENSG00000181885,-0.1588183774858101,0.4586407434417571,0.3385273672555531,CLDN7
18663,ENSG00000228549,0.0944312102751557,0.8461322401900032,0.0725617567048627,LINC03126
18664,ENSG00000259417,-1.4581614454721248,1.1560706794788164e-06,5.937015613346906,CTXND1
18665,ENSG00000211651,0.2500245851530046,0.5634563613044327,0.2491397136525943,IGLV1-44
18666,ENSG00000241362,-0.2794818933695215,0.3035277215609154,0.517801638126992,RPL36AP43
18667,ENSG00000095574,-0.1052461722543634,0.402595095210088,0.3951315203966171,IKZF5
18668,ENSG00000149346,-0.0640455860608902,0.6700240790455075,0.1739095895250177,SLX4IP
18669,ENSG00000160050,0.5297750248583195,8.264237887857355e-05,4.082797190048843,CCDC28B
18670,ENSG00000112624,-0.1258767218453825,0.3141028170897036,0.50292816853296,BICRAL
18671,ENSG00000237234,-0.0180668216247721,0.9647619775408168,0.0155798209477103,
18672,ENSG00000252690,0.1319140702586836,0.6940772734676991,0.1585921756943971,
18673,ENSG00000185298,0.1508831150899823,0.3388260258758577,0.4700232380693055,CCDC137
18674,ENSG00000101745,-0.1093729409593722,0.5833645911236824,0.2340599350810781,ANKRD12
18675,ENSG00000120837,-0.0810571875766075,0.4618290380647088,0.3355187637644647,NFYB
18676,ENSG00000204387,0.0020325356483272,0.9934873209148856,0.0028376710723722,SNHG32
18677,ENSG00000142623,0.3041967605377402,0.6669487387671698,0.1759075443834077,PADI1
18678,ENSG00000213411,-0.4006515757999033,0.1920574032011585,0.71656894750717,RBM22P2
18679,ENSG00000273749,-0.1327239242532382,0.2348864476105553,0.6291420402583473,CYFIP1
18680,ENSG00000129028,0.13648937465844,0.4457819757364484,0.3508774952915142,THAP10
18681,ENSG00000150782,-0.1071917879508648,0.6794728299478185,0.1678279046999216,IL18
18682,ENSG00000183814,0.1351207225575693,0.3685386881939128,0.433516914352603,LIN9
18683,ENSG00000254598,-0.0549840317354983,0.8762631758135974,0.0573654387655196,CSNK2A3
18684,ENSG00000219200,0.0631350072141074,0.7928818343980788,0.1007915320931959,RNASEK
18685,ENSG00000147144,-0.1915690023914717,0.2921786194255958,0.5343515673381141,CCDC120
